ObjID,raMean,decMean,zMeanPSFMag,zMeanKronMag,nDetections,zQfPerfect
108113341533768535,334.15336084,0.0984295,20.4615001678467,20.486499786377,39,0.998824000358582
108113341627276485,334.1627356,0.09665069,20.7210006713867,21.3153991699219,31,0.997614979743958
108123341592037577,334.15920999,0.10594217,16.7136001586914,16.6415996551514,75,0.99967098236084
108113341568606343,334.15680458,0.09643585,20.9568996429443,20.6366004943848,39,0.998835980892181
108113341733305722,334.17332567,0.09605049,20.5634994506836,20.6602993011475,63,0.99940299987793
108133341648664982,334.16485697,0.11208305,15.5916004180908,15.6522998809814,81,0.998840987682343
108003339691728254,333.96920753,0.006488,18.3332996368408,18.4286994934082,73,0.998597979545593
108003339682746405,333.96829342,0.00495425,20.5331001281738,20.6837005615234,27,0.999620974063873
108003339677024228,333.96772541,0.00315558,17.039400100708,17.1287994384766,67,0.998694002628326
108003339723818957,333.97243845,0.00717446,20.7654991149902,20.3607006072998,30,0.998071014881134
108013339782682737,333.97830442,0.01024929,20.5102996826172,20.4015998840332,44,0.999001979827881
108023339569581120,333.95699118,0.01723552,19.0107002258301,19.0921001434326,62,0.998167991638184
108013339685000649,333.96854647,0.00850415,20.8703994750977,20.8803005218506,35,0.999357998371124
108023339711177505,333.97116578,0.02254459,18.5858001708984,18.486499786377,64,0.998623013496399
108103339676850984,333.96771098,0.08376113,19.9015007019043,20.0189990997314,86,0.999630987644196
108083339557976421,333.95581744,0.07165601,20.7754993438721,21.0624008178711,28,0.998250007629395
108083339583406981,333.95832992,0.07210305,20.300199508667,20.0935001373291,57,0.999189972877502
108093339671082757,333.96719139,0.07691364,20.1483001708984,20.0240001678467,79,0.999293029308319
108063339384381805,333.93843348,0.05118267,21.0396995544434,21.1032009124756,6,0.998131990432739
107953338695712445,333.86958007,-0.04009966,20.1658000946045,20.2819995880127,24,0.999047994613647
107953338696403176,333.86966251,-0.0393838,20.0431003570557,20.2047996520996,46,0.998781979084015
107953338720840313,333.8720973,-0.04178178,16.7334995269775,16.6944007873535,60,0.99896502494812
107953338762000017,333.87616969,-0.04200847,20.7320995330811,20.5988998413086,27,0.998700976371765
