r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,32.0,335,1654.0,0.9093755561467797,0.3375331008958058
0.51,1.01,161.0,2206,11443.0,0.4792062002476511,0.11657777993885728
1.01,1.51,445.0,6055,30533.0,0.4743895744877615,0.06989276886868048
1.51,2.01,895.0,11911,58915.0,0.49746383981730147,0.05005469579945362
2.01,2.51,1440.0,19335,96408.0,0.48816451584935694,0.039216578359380944
2.51,3.01,1976.0,28837,142673.0,0.3638382134737472,0.03068099109943739
3.01,3.51,2787.0,40056,197988.0,0.3845571270920927,0.02622662431220614
3.51,4.01,3478.0,52831,262568.0,0.3125673935176599,0.02225649760412836
4.01,4.51,4358.0,67407,333856.0,0.2863549594310555,0.019485753857836383
4.51,5.01,5236.0,83942,416188.0,0.2412047117895859,0.017153138593044213
5.01,5.51,6326.0,101922,503350.0,0.23195068249254203,0.015489190769111283
5.51,6.01,7386.0,122222,600828.0,0.19512112086202915,0.013906161536040969
6.01,6.51,8755.0,143289,706817.0,0.21145224602058144,0.012947270579705718
6.51,7.01,9956.0,165719,819187.0,0.19242540831617166,0.0119505743308799
7.01,7.51,11480.0,190220,940256.0,0.1979213978051775,0.01118040095193148
7.51,8.01,12731.0,216678,1068345.0,0.1635337057534247,0.010312114097051132
8.01,8.51,14359.0,244060,1203271.0,0.16506856208558268,0.009722755973934735
8.51,9.01,15820.0,273025,1347165.0,0.14769650519081634,0.00912480977765192
9.01,9.51,17630.0,302895,1496895.0,0.15432477779874906,0.00869364419469833
9.51,10.01,19206.0,335768,1653309.0,0.1308272151106242,0.00815976759904205
10.01,10.51,21115.0,368696,1816499.0,0.13273590405402738,0.00779530520572752
10.51,11.01,22965.0,402972,1988210.0,0.12829244883416582,0.007445407230972558
11.01,11.51,24596.0,440328,2166868.0,0.10304110266969761,0.007033305042803513
11.51,12.01,26527.0,476982,2351251.0,0.09961781326314716,0.006751459983334837
12.01,12.51,28752.0,516008,2538642.0,0.10000049599036125,0.006487223357379559
12.51,13.01,31039.0,555958,2734767.0,0.10209229965014825,0.006362932858748269
13.01,13.51,32956.0,595847,2938105.0,0.09371813902579251,0.006314584619841179
13.51,14.01,35269.0,639727,3149055.0,0.08853835031790531,0.006284679095792738
14.01,14.51,37411.0,684652,3358157.0,0.07530084462237993,0.006208252321025631
14.51,15.01,39994.0,728074,3584535.0,0.08462443667947625,0.006262082104865418
15.01,15.51,42081.0,774736,3807124.0,0.07039856640907263,0.0061799490045646764
15.51,16.01,44581.0,821365,4035357.0,0.0693787752339092,0.006174061237469698
16.01,16.51,47260.0,869790,4276393.0,0.07124316631473226,0.006184825304393577
16.51,17.01,49997.0,919749,4515068.0,0.07031093536129815,0.006179443066474456
17.01,17.51,52694.0,971537,4762602.0,0.06652297879105624,0.006157573289019378
17.51,18.01,55127.0,1019051,5009895.0,0.06632561258859734,0.006156433794718193
18.01,18.51,57419.0,1072632,5268378.0,0.05393804642379325,0.006084914148119654
18.51,19.01,60544.0,1125935,5529614.0,0.05875331790270854,0.006112715130965381
19.01,19.51,63436.0,1182431,5792383.0,0.05384704856541392,0.006084388771739343
19.51,20.01,66686.0,1237007,6064549.0,0.05990887339445841,0.0061193867337076355
20.01,20.51,68806.0,1293905,6335909.0,0.04383089388554911,0.006026560475732695
20.51,21.01,72027.0,1350350,6616646.0,0.047774521996432416,0.006049329023246718
21.01,21.51,74750.0,1407761,6896882.0,0.04270671628743504,0.006020070033343814
21.51,22.01,78152.0,1466239,7185341.0,0.04710066487433124,0.006045438507338313
22.01,22.51,81202.0,1525308,7478088.0,0.04620197806183485,0.006040249936607193
22.51,23.01,83979.0,1587729,7771314.0,0.03760353393238003,0.005990606796279665
23.01,23.51,87191.0,1649275,8066871.0,0.036388031685733624,0.005983589090786647
23.51,24.01,90324.0,1709002,8367017.0,0.03701736804957296,0.005987222565977382
24.01,24.51,93447.0,1772650,8680851.0,0.03448860470918634,0.005972622744024491
24.51,25.01,96625.0,1833868,8977358.0,0.033587722979985225,0.005967421500935869
25.01,25.51,99833.0,1897904,9295785.0,0.03231655771409297,0.005960082424851394
25.51,26.01,103500.0,1961999,9608635.0,0.035282941886856024,0.005977208851858041
26.01,26.51,106198.0,2029251,9926675.0,0.02562300531851332,0.005921437182077167
26.51,27.01,109831.0,2095557,10245942.0,0.026729739040438214,0.005927826912199912
27.01,27.51,112889.0,2160711,10558340.0,0.022782056837464662,0.005905034958374293
27.51,28.01,116864.0,2227983,10888440.0,0.02713289229557131,0.00593015451860367
28.01,28.51,119883.0,2294111,11218538.0,0.023725384836720077,0.005910481265117336
28.51,29.01,123305.0,2363927,11554803.0,0.02133153848642665,0.00589666038676993
29.01,29.51,126572.0,2433329,11879656.0,0.01717447370734377,0.005872659562077509
29.51,30.01,130188.0,2503906,12209231.0,0.015516541586654189,0.0058630874865157265
30.01,30.51,133333.0,2570372,12546596.0,0.014080447907975416,0.005854796195796059
30.51,31.01,137220.0,2644655,12880173.0,0.012121174838965616,0.005843484327457971
31.01,31.51,140473.0,2714148,13212778.0,0.009014751072618388,0.005825549381480795
31.51,32.01,143819.0,2785431,13562123.0,0.0066536278341065725,0.005811917430107348
32.01,32.51,147837.0,2855670,13901995.0,0.009317634971397492,0.005827298082485728
32.51,33.01,151678.0,2927815,14247844.0,0.009688949640495506,0.005829441868727306
33.01,33.51,155072.0,2997816,14595961.0,0.008602801741366416,0.005823170990907887
33.51,34.01,159634.0,3074336,14939806.0,0.01073825160986712,0.0058355000164720845
34.01,34.51,162211.0,3141357,15293159.0,0.006622592567149816,0.00581173824791003
34.51,35.01,166665.0,3217494,15638353.0,0.008346164168762356,0.005821689293191615
35.01,35.51,169425.0,3289969,15997241.0,0.002542248227453655,0.0057881803688809305
35.51,36.01,173078.0,3360091,16337411.0,0.00275026773469239,0.00578938137006594
36.01,36.51,177111.0,3430522,16684911.0,0.005480203127546017,0.005805142659405283
36.51,37.01,180169.0,3503097,17037667.0,0.0014235690201893302,0.005781721671466422
37.01,37.51,184465.0,3577128,17398448.0,0.004272832326602717,0.00579817190083592
37.51,38.01,187940.0,3649923,17745227.0,0.0022925884743330467,0.0057867389576242295
38.01,38.51,190722.0,3724778,18096591.0,-0.0043263759268527295,0.005748524348836419
38.51,39.01,195701.0,3797444,18452671.0,0.002657864763178156,0.005788847881261163
39.01,39.51,198758.0,3867572,18803047.0,0.00020487173930545894,0.0057746855194346315
39.51,40.01,202930.0,3938884,19158991.0,0.003334784510677681,0.00579275607924555
40.01,40.51,205735.0,4010755,19513679.0,-0.0010054527694384815,0.00576769770762533
40.51,41.01,209106.0,4086738,19876576.0,-0.003996686174153194,0.00575042781351112
41.01,41.51,211855.0,4158185,20227683.0,-0.008300150227147978,0.005725581752216676
41.51,42.01,216438.0,4224917,20578711.0,-0.001257067742912168,0.005766245007898659
42.01,42.51,219394.0,4298342,20922472.0,-0.005771140140285595,0.005740182998761009
