r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,0.0,2,14.0,-0.42851558136937334,inf
0.51,1.01,0.0,15,112.0,-0.33923335753378747,inf
1.01,1.51,5.0,77,319.0,0.1542510630948028,0.5161967680362756
1.51,2.01,9.0,123,569.0,0.4206763829781572,0.4735587943260524
2.01,2.51,13.0,203,987.0,0.2609290033799288,0.34971878280046453
2.51,3.01,16.0,286,1447.0,0.12969935456225617,0.28242483864056406
3.01,3.51,22.0,417,2044.0,0.036662114930660794,0.221017105521939
3.51,4.01,48.0,534,2706.0,0.8011449507392803,0.2599728805397147
4.01,4.51,52.0,685,3402.0,0.5156078945271405,0.21017699912367782
4.51,5.01,56.0,921,4186.0,0.13815841059421766,0.15209281515424083
5.01,5.51,60.0,967,5102.0,0.28116226568693137,0.16539733729316156
5.51,6.01,67.0,1207,6131.0,0.12458491034311603,0.1373899136281038
6.01,6.51,94.0,1470,7188.0,0.2632002271053748,0.13028915525154164
6.51,7.01,98.0,1640,8461.0,0.22043381167617865,0.12328243203222454
7.01,7.51,129.0,1896,9461.0,0.36003400075967706,0.11974431686025218
7.51,8.01,154.0,2282,10741.0,0.3097767915235014,0.10554482163571205
8.01,8.51,143.0,2398,12200.0,0.20704677813231662,0.10093832239179513
8.51,9.01,149.0,2696,13694.0,0.11978226781511248,0.09173613778253413
9.01,9.51,179.0,3168,15072.0,0.08622205543575809,0.08118804827538242
9.51,10.01,210.0,3411,16489.0,0.20545363199875774,0.08318420348264952
10.01,10.51,205.0,3792,18384.0,0.05291002475141768,0.07353842600058864
10.51,11.01,253.0,4125,19948.0,0.20094834342877776,0.07550297545597023
11.01,11.51,258.0,4434,21927.0,0.15496029277605905,0.07190468707133754
11.51,12.01,279.0,4821,23658.0,0.14201136094384206,0.06837043180010899
12.01,12.51,275.0,5152,25579.0,0.06140558212550537,0.064005164841801
12.51,13.01,291.0,5672,27630.0,0.0008128783552971723,0.05866868994915329
13.01,13.51,334.0,6028,29722.0,0.09609422288400038,0.05997560745286672
13.51,14.01,361.0,6461,31659.0,0.09994731665082571,0.057891964034253986
14.01,14.51,405.0,6988,33814.0,0.13163147832400218,0.05623122024468997
14.51,15.01,422.0,7431,36136.0,0.11190387280472436,0.05412663364779853
15.01,15.51,445.0,7794,38530.0,0.13259044375407442,0.05368993614573125
15.51,16.01,465.0,8319,40793.0,0.10106192205166054,0.05106052398958055
16.01,16.51,464.0,8805,42933.0,0.030344345397193453,0.04783253541433624
16.51,17.01,516.0,9343,45376.0,0.07862778498210773,0.04748394054377485
17.01,17.51,557.0,9795,48406.0,0.12765843427003187,0.04778042131841307
17.51,18.01,531.0,10257,50133.0,0.013677610440286345,0.04398986139628822
18.01,18.51,567.0,10821,53140.0,0.031128852819928426,0.043303341495632586
18.51,19.01,647.0,11251,55585.0,0.14036468721227896,0.0448323619700736
19.01,19.51,636.0,11913,58429.0,0.05007860415480541,0.041638325107683186
19.51,20.01,708.0,12550,61318.0,0.10841557135953389,0.04165680807944399
20.01,20.51,733.0,12882,63878.0,0.13132589828967944,0.0417864754868914
20.51,21.01,749.0,13719,66289.0,0.06080535382428519,0.03876098403611058
21.01,21.51,746.0,14159,69241.0,0.032968797627838664,0.03781967473969722
21.51,22.01,780.0,15045,72489.0,0.0009978837588682247,0.03584147367208604
22.01,22.51,834.0,15631,74975.0,0.028015543125856014,0.03559726697314349
22.51,23.01,834.0,16166,78164.0,-0.0007717812083215396,0.03460044345562132
