r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,55.0,627,2948.0,0.7388532659748398,0.23446692655279924
0.51,1.01,321.0,4141,20260.0,0.5405145998547237,0.08598314027967208
1.01,1.51,829.0,10960,54210.0,0.5075104094564178,0.05235800067577181
1.51,2.01,1484.0,20856,104633.0,0.42507488539444593,0.03699310080812725
2.01,2.51,2453.0,34636,170709.0,0.4080358111639383,0.02842921883017474
2.51,3.01,3436.0,50574,253233.0,0.35975562246342235,0.02319713156681407
3.01,3.51,4763.0,70719,350681.0,0.3416309551784256,0.019439844172291935
3.51,4.01,6119.0,93905,464571.0,0.29583662286109613,0.016565708812884772
4.01,4.51,7657.0,119472,593206.0,0.27681145416721514,0.014591416240657934
4.51,5.01,9333.0,147816,736902.0,0.26064075708166673,0.01304910455928478
5.01,5.51,11171.0,180648,891584.0,0.22682512424895976,0.011607445025056567
5.51,6.01,13175.0,215169,1069647.0,0.22015863524706036,0.010630188993584005
6.01,6.51,15455.0,252968,1252949.0,0.21454193173015443,0.009769627578886522
6.51,7.01,17762.0,293201,1454600.0,0.20544293656272336,0.009044836561367679
7.01,7.51,20048.0,336799,1670175.0,0.18383614238192295,0.00836095850339281
7.51,8.01,22625.0,382405,1895440.0,0.17618625102756513,0.007819550783627924
8.01,8.51,25090.0,431525,2139153.0,0.15565517849183663,0.007295884313945708
8.51,9.01,28203.0,482466,2389748.0,0.16129881476476096,0.006915065992928739
9.01,9.51,31043.0,536548,2656035.0,0.14869467540759546,0.0065196272383020865
9.51,10.01,33887.0,592377,2935610.0,0.13647284791957756,0.006173657083743802
10.01,10.51,37315.0,652026,3230352.0,0.136731929368385,0.005884591714822363
10.51,11.01,40420.0,712980,3529094.0,0.12507537962255527,0.0056253768981127765
11.01,11.51,43746.0,776702,3844484.0,0.11761834579381109,0.005588091728969056
11.51,12.01,47673.0,842070,4172831.0,0.12451003136280224,0.005622550156814011
12.01,12.51,50699.0,913149,4509043.0,0.0992649447625337,0.005496324723812669
